Date	NumArticles	Counts	Themes	Locations	Persons	Organizations	ToneData	CAMEOEvents	Sources	SourceURLs
20161201	1		DRONES;NATURAL_DISASTER;NATURAL_DISASTER_ICY;UNGP_FORESTS_RIVERS_OCEANS;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_137_WATER;ENV_SOLAR;TAX_FNCACT;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;	2#California, United States#US#USCA#36.17#-119.746#CA;3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322;3#Washington, Washington, United States#US#USDC#38.8951#-77.0364#531871	steve chien;andrew thompson	artificial intelligence group;propulsion laboratory;professor at california institute of technology caltech	-1.16279069767442,1.62790697674419,2.7906976744186,4.41860465116279,24.1860465116279,1.16279069767442		sify.com	http://www.sify.com/news/nasas-intelligent-underwater-drones-could-explore-europa-news-others-qmbqufigcbeei.html
20161201	1	SEIZE#85##1#Ireland#EI#EI#53#-8#EI;	TAX_FNCACT;TAX_FNCACT_CHILD;RAPE;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;CRISISLEX_CRISISLEXREC;SECURITY_SERVICES;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_328_FINANCIAL_INTEGRITY;WB_2082_LAW_ENFORCEMENT;WB_2405_PEER_TO_PEER_NETWORKS;WB_2399_ICT_INNOVATION_AND_TRANSFORMATION;WB_2401_ICT_INNOVATION_METHODOLOGIES;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SCIENCE;UNGP_FORESTS_RIVERS_OCEANS;WB_678_DIGITAL_GOVERNMENT;WB_667_ICT_INFRASTRUCTURE;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICERS;TAX_FNCACT_OFFICERS;CRISISLEX_T11_UPDATESSYMPATHY;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_ETHNICITY;TAX_ETHNICITY_GERMAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_GERMAN;SOC_POINTSOFINTEREST_COLLEGE;TAX_FNCACT_VICTIMS;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;ARREST;TAX_FNCACT_AUTHOR;TAX_FNCACT_LINGUIST;TAX_FNCACT_ANALYSTS;WB_694_BROADCAST_AND_MEDIA;TAX_FNCACT_CRIMINALS;AFFECT;TAX_FNCACT_CHILDREN;MEDIA_MSM;SOC_POINTSOFINTEREST_HEADQUARTERS;CRISISLEX_C07_SAFETY;TAX_FNCACT_PROFESSOR;TAX_FNCACT_RESEARCHER;SEIZE;	1#Ireland#EI#EI#53#-8#EI;1#Germany#GM#GM#51#9#GM;1#France#FR#FR#46#2#FR	claudia peersman;awais rashid	p networks;german research centre for artificial intelligence;university college cork;us national center;university of portsmouth;members of the european commission;lancaster university;european commission safer internet program	-4.33815350389321,1.33481646273637,5.67296996662959,7.00778642936596,21.357063403782,0.556173526140156	604376665,604109997	wired.co.uk	http://www.wired.co.uk/article/ai-interpol-track-child-abuse
20161201	1		EPU_ECONOMY_HISTORIC;ECON_STOCKMARKET;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;SOC_POINTSOFINTEREST_HIGH_SCHOOL;WB_2937_SILVER;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_1699_METAL_ORE_MINING;SOC_POINTSOFINTEREST_COLLEGE;WB_290_TELECOMMUNICATIONS_ORGANIZATIONAL_DESIGN;WB_288_TELECOMMUNICATIONS_SECTOR_POLICY_AND_REGULATION;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;ECON_IPO;WB_698_TRADE;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_YEN;TAX_FNCACT;TAX_FNCACT_REPRESENTATIVES;WB_678_DIGITAL_GOVERNMENT;WB_2943_SWITCHES;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;	1#Japan#JA#JA#36#138#JA;4#Tokyo, Tokyo, Japan#JA#JA40#35.685#139.751#-246227	tom foley	paxton center school;hampshire college in amherst;artificial intelligence at digital equipment corporation;tokyo stock exchange a paxton;silver egg technology;wachusett regional high school;foley;tokyo stock exchange	4.13533834586466,5.26315789473684,1.12781954887218,6.39097744360902,25.9398496240602,0.75187969924812	604128888	thelandmark.com	http://www.thelandmark.com/news/2016-12-01/Paxton_News/Paxton_native_takes_business_public_on_Tokyo_Stock.html
20161201	1		UNGP_FORESTS_RIVERS_OCEANS;MEDIA_MSM;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_1777_FORESTS;WB_590_ECOSYSTEMS;TAX_WORLDFISH;TAX_WORLDFISH_SHARKS;CRISISLEX_CRISISLEXREC;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_137_WATER;SCIENCE;NATURAL_DISASTER;NATURAL_DISASTER_ICY;ENV_SOLAR;DRONES;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_MASSACHUSETTS;TAX_FNCACT;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;TAX_WORLDFISH_FISH;	3#Moss Landing, California, United States#US#USCA#36.8044#-121.787#1659184;2#Tennessee, United States#US#USTN#35.7449#-86.7489#TN;3#Monterey Bay Aquarium, California, United States#US#USCA#36.6183#-121.901#1703287;4#Paris, France (General), France#FR#FR00#48.8667#2.33333#-1456928;2#Massachusetts, United States#US#USMA#42.2373#-71.5314#MA;2#California, United States#US#USCA#36.17#-119.746#CA;3#Clarksville, Tennessee, United States#US#USTN#36.5298#-87.3595#1269467;3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322;3#Woods Hole, Massachusetts, United States#US#USMA#41.5265#-70.6731#617060	steve chien;andrew thompson	propulsion laboratory;net enterprises;monterey bay aquarium research institute;woods hole oceanographic institute;remote sensing solutions;artificial intelligence group;propulsion laboratory pasadena;keck institute for space studies	-1.03626943005181,2.2020725388601,3.23834196891192,5.44041450777202,25.259067357513,1.6839378238342	604152212	clarksvilleonline.com	http://www.clarksvilleonline.com/2016/12/01/nasa-researchers-develop-artificial-intelligence-submersibles/
20161201	1		DRONES;NATURAL_DISASTER;NATURAL_DISASTER_ICY;UNGP_FORESTS_RIVERS_OCEANS;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_137_WATER;ENV_SOLAR;TAX_FNCACT;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;	2#California, United States#US#USCA#36.17#-119.746#CA;3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322	andrew thompson;steve chien	artificial intelligence group;propulsion laboratory;professor at california institute of technology caltech	-1.30548302872063,2.088772845953,3.39425587467363,5.48302872062663,25.5874673629243,1.82767624020888		newkerala.com	http://www.newkerala.com/news/2016/fullnews-149538.html
20161201	1		DRONES;MANMADE_DISASTER_IMPLIED;KILL;SCIENCE;UNGP_FORESTS_RIVERS_OCEANS;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT;TAX_FNCACT_ENGINEERS;TAX_FNCACT_RESEARCHER;TAX_FNCACT_OCEANOGRAPHERS;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;	3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322;3#Monterey Bay Aquarium, California, United States#US#USCA#36.6183#-121.901#1703287	steve chien;andrew thompson	artificial intelligence group;remote sensing solutions;propulsion laboratory;monterey bay aquarium research institute;woods hole oceanographic institute	1.19617224880383,4.30622009569378,3.11004784688995,7.41626794258373,20.5741626794258,1.19617224880383		breitbart.com	http://www.breitbart.com/news/nasa-scientists-working-to-develop-intelligent-underwater-drones/
20161201	1		MANMADE_DISASTER_IMPLIED;KILL;SCIENCE;UNGP_FORESTS_RIVERS_OCEANS;DRONES;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT;TAX_FNCACT_ENGINEERS;TAX_FNCACT_RESEARCHER;TAX_FNCACT_OCEANOGRAPHERS;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;	3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322;3#Monterey Bay Aquarium, California, United States#US#USCA#36.6183#-121.901#1703287	steve chien;andrew thompson	artificial intelligence group;remote sensing solutions;propulsion laboratory;monterey bay aquarium research institute;woods hole oceanographic institute	1.08459869848156,3.68763557483731,2.60303687635575,6.29067245119306,20.3904555314534,1.08459869848156		upi.com	http://www.upi.com/Science_News/2016/12/01/NASA-scientists-working-to-develop-intelligent-underwater-drones/9801480618671/
20161201	1		DRONES;SCIENCE;NATURAL_DISASTER;NATURAL_DISASTER_ICY;UNGP_FORESTS_RIVERS_OCEANS;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_137_WATER;ENV_SOLAR;TAX_FNCACT;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;	2#California, United States#US#USCA#36.17#-119.746#CA;3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322	steve chien;andrew thompson;cyber deals	artificial intelligence group;propulsion laboratory;stores while;professor at california institute of technology caltech	-0.748129675810474,2.24438902743142,2.9925187032419,5.23690773067332,26.1845386533666,1.24688279301746		i4u.com	http://www.i4u.com/2016/12/118337/nasas-intelligent-underwater-drones-could-explore-jupiters-moon-europa
20161201	2		TAX_FNCACT;TAX_FNCACT_CHILD;RAPE;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;CRISISLEX_CRISISLEXREC;SECURITY_SERVICES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_328_FINANCIAL_INTEGRITY;WB_1014_CRIMINAL_JUSTICE;WB_2082_LAW_ENFORCEMENT;SCIENCE;WB_2405_PEER_TO_PEER_NETWORKS;WB_2399_ICT_INNOVATION_AND_TRANSFORMATION;WB_2401_ICT_INNOVATION_METHODOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_ETHNICITY;TAX_ETHNICITY_GERMAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_GERMAN;SOC_POINTSOFINTEREST_COLLEGE;TAX_FNCACT_RESEARCHER;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;TAX_FNCACT_OFFICER;TAX_FNCACT_POLICE_OFFICER;TAX_FNCACT_PAEDOPHILES;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMANS;TAX_FNCACT_ENFORCERS;TAX_FNCACT_MAN;TAX_FNCACT_CHILDREN;MOVEMENT_GENERAL;TAX_FNCACT_AGENTS;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_VICTIMS;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;	1#Ireland#EI#EI#53#-8#EI;1#Germany#GM#GM#51#9#GM	claudia peersman	german research centre for artificial intelligence;university college cork;lancaster university;european commission safer internet programme	-3.46938775510204,2.6530612244898,6.12244897959184,8.77551020408163,25.7142857142857,0.204081632653061	604166577,604109997,604359456,604166577,604109997,604359456	bbc.co.uk;bbc.com	http://www.bbc.co.uk/news/technology-38171457<UDIV>http://www.bbc.com/news/technology-38171457
20161201	1		SCIENCE;SOC_INNOVATION;MEDIA_SOCIAL;WB_2670_JOBS;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;TECH_AUTOMATION;MEDICAL;TAX_FNCACT;TAX_FNCACT_SURGEONS;TAX_FNCACT_WORKERS;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;TAX_FNCACT_EMPLOYEES;TAX_FNCACT_EMPLOYERS;WB_2690_CATEGORIES_OF_EMPLOYMENT;WB_2689_JOBS_DIAGNOSTICS;WB_2704_EMPLOYER;TAX_FNCACT_MANAGERS;TAX_FNCACT_EMPLOYEE;UNGP_FORESTS_RIVERS_OCEANS;TRANSPARENCY;TAX_FNCACT_EMPLOYER;	4#London, London, City Of, United Kingdom#UK#UKH9#51.5#-0.116667#-2601889;1#United Kingdom#UK#UK#54#-2#UK	tom mcqueen	google;edelman trust barometer;volvo;greater workplace trust artificial intelligence;facebook	3.90879478827362,5.86319218241042,1.95439739413681,7.81758957654723,24.9185667752443,0.488599348534202		huffingtonpost.co.uk	http://www.huffingtonpost.co.uk/tom-mcqueen/why-robots-in-the-office-_b_13331592.html
20161201	1		WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SCIENCE;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMANS;AFFECT;UNGP_FORESTS_RIVERS_OCEANS;WB_1245_FINANCIAL_VULNERABILITY_AND_RISKS;WB_318_FINANCIAL_ARCHITECTURE_AND_BANKING;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_327_VULNERABILITY_AND_RISK_ASSESSMENTS;ARREST;TAX_FNCACT;TAX_FNCACT_CRIMINAL;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_1014_CRIMINAL_JUSTICE;TAX_ETHNICITY;TAX_ETHNICITY_AMERICANS;EPU_CATS_MIGRATION_FEAR_FEAR;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;MEDIA_SOCIAL;GENERAL_HEALTH;MEDICAL;CRISISLEX_C03_WELLBEING_HEALTH;TAX_ETHNICITY_BLACK;TAX_WORLDMAMMALS_HUMAN;TAX_FNCACT_DIRECTOR;TAX_FNCACT_ASSISTANT;TAX_FNCACT_AGENT;CRISISLEX_T11_UPDATESSYMPATHY;TAX_WORLDMAMMALS_BEAR;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;USPEC_POLICY1;EPU_POLICY_POLICY;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;WB_2089_ETHICS_AND_CODES_OF_CONDUCT;TAX_FNCACT_CRIMINALS;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_PROFESSOR;EPU_POLICY_POLITICAL;EPU_ECONOMY_HISTORIC;TAX_FNCACT_EXECUTIVES;TAX_FNCACT_BUSINESS_EXECUTIVES;MANMADE_DISASTER_IMPLIED;SHORTAGE;WB_661_BIG_DATA;WB_652_ICT_APPLICATIONS;WB_872_SMART_CITIES;WB_813_URBAN_GOVERNANCE_AND_CITY_SYSTEMS;WB_699_URBAN_DEVELOPMENT;WB_873_NON_TRADITIONAL_DATA_DRIVEN_MANAGEMENT;WB_658_ENTERPRISE_APPLICATIONS;TECH_BIGDATA;SOC_INNOVATION;SOC_EMERGINGTECH;TAX_ETHNICITY_CHAM;ECON_ENTREPRENEURSHIP;	1#United States#US#US#38#-97#US;4#Xi Zhang, Shaanxi, China#CH#CH26#34.4153#108.538#9208739;4#Shanghai, Shanghai, China#CH#CH23#31.2222#121.458#-1924465	bloomberg beta shivon zilis;rachael tatman;susan mcvie;nick bostrom;sam altman;stephen hawking;nils lenke;bloomberg beta;elon musk;bloomberg beta zilis;xiaolin wu	google;national science foundation graduate research;artificial intelligence laboratory;carnegie mellon university;linguistics department;ibm;corporate research at nuance;university of edinburgh;microsoft;shanghai jiao tong university;youtube;university of washington;gartner;facebook	0.0403225806451615,2.74193548387097,2.70161290322581,5.44354838709677,21.0887096774194,1.16935483870968	604401570,604403229	zdnet.com	http://www.zdnet.com/article/inside-the-black-box-understanding-ai-decision-making/
20161201	1		DRONES;NATURAL_DISASTER;NATURAL_DISASTER_ICY;UNGP_FORESTS_RIVERS_OCEANS;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_137_WATER;ENV_SOLAR;TAX_FNCACT;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;	2#California, United States#US#USCA#36.17#-119.746#CA;3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322	andrew thompson;steve chien	artificial intelligence group;propulsion laboratory;professor at california institute of technology caltech	-1.42045454545455,1.98863636363636,3.40909090909091,5.39772727272727,26.9886363636364,1.42045454545455		business-standard.com	http://www.business-standard.com/article/news-ians/nasa-s-intelligent-underwater-drones-could-explore-europa-116120100788_1.html
20161201	1			3#Boston, Massachusetts, United States#US#USMA#42.3584#-71.0598#617565	mike lieberman;gary vaynerchuk;dharmesh shah;brian halligan;eric keiles;nehisi coates;reshma saujani;paul roetzer	google;youtube;linkedin;marketing artificial intelligence institute;facebook	2.82916213275299,4.3525571273123,1.5233949945593,5.8759521218716,25.2448313384113,3.69967355821545	604355686,604118204,604356267,604357659,604118204,604357681	business2community.com	http://www.business2community.com/inbound-marketing/expect-inbound-marketing-2017-01718103
20161201	1		TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT;TAX_FNCACT_ASSISTANT;WB_678_DIGITAL_GOVERNMENT;WB_652_ICT_APPLICATIONS;WB_658_ENTERPRISE_APPLICATIONS;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;TAX_FNCACT_CHIEF;TAX_FNCACT_EVANGELIST;WB_2363_MOBILE_APPLICATIONS;TAX_FNCACT_SPEAKER;RECRUITMENT;SCIENCE;TAX_FNCACT_DIRECTOR;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT_WOMEN;WB_615_GENDER;PROTEST;STRIKE;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_SUPPORTER;TAX_FNCACT_MANAGING_DIRECTOR;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_OREGON;TAX_FNCACT_CEO;TAX_FNCACT_VENDOR;CRISISLEX_C07_SAFETY;SOC_INNOVATION;EPU_ECONOMY_HISTORIC;	3#Stanford University, California, United States#US#USCA#37.4289#-122.17#235365;3#San Diego, California, United States#US#USCA#32.7153#-117.157#1661377;2#Virginia, United States#US#USVA#37.768#-78.2057#VA;1#United Kingdom#UK#UK#54#-2#UK	gavin jackson;aneel bhusri;diane greene;fei-fei li;jia li;las vegas;jeff barr;andy jassy;reid hoffman;elon musk;peter thiel	stanford university artificial intelligence lab;linkedin;amazon web services;infosys;microsoft	1.54589371980676,2.31884057971015,0.772946859903382,3.09178743961353,22.6086956521739,1.54589371980676	604276309,604276841	diginomica.com	http://diginomica.com/2016/12/01/aws-stays-2016-trend-ai-product-push/
20161201	1		DRONES;NATURAL_DISASTER;NATURAL_DISASTER_ICY;UNGP_FORESTS_RIVERS_OCEANS;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_137_WATER;ENV_SOLAR;TAX_FNCACT;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;	2#California, United States#US#USCA#36.17#-119.746#CA;3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322;3#Washington, Washington, United States#US#USDC#38.8951#-77.0364#531871	steve chien;andrew thompson	artificial intelligence group;propulsion laboratory;professor at california institute of technology caltech	-1.30890052356021,1.83246073298429,3.1413612565445,4.9738219895288,26.7015706806283,1.30890052356021		prokerala.com	http://www.prokerala.com/news/articles/a698541.html
20161201	1		DRONES;UNGP_FORESTS_RIVERS_OCEANS;MEDIA_MSM;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_1777_FORESTS;WB_590_ECOSYSTEMS;TAX_WORLDFISH;TAX_WORLDFISH_SHARKS;CRISISLEX_CRISISLEXREC;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_137_WATER;SCIENCE;NATURAL_DISASTER;NATURAL_DISASTER_ICY;ENV_SOLAR;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_MASSACHUSETTS;TAX_FNCACT;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;TAX_WORLDFISH_FISH;	2#California, United States#US#USCA#36.17#-119.746#CA;3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322;3#Moss Landing, California, United States#US#USCA#36.8044#-121.787#1659184;3#Monterey Bay Aquarium, California, United States#US#USCA#36.6183#-121.901#1703287;3#Woods Hole, Massachusetts, United States#US#USMA#41.5265#-70.6731#617060;2#Massachusetts, United States#US#USMA#42.2373#-71.5314#MA	jpl steve chien;steve chien;andrew thompson	artificial intelligence group;remote sensing solutions;propulsion laboratory;monterey bay aquarium research institute;woods hole oceanographic institute;caltech keck institute for space studies	-1.33511348464619,2.40320427236315,3.73831775700935,6.1415220293725,25.7676902536716,1.60213618157543	604152212	brewminate.com	http://brewminate.com/from-monterey-bay-to-europa/
20161201	1		DRONES;NATURAL_DISASTER;NATURAL_DISASTER_ICY;UNGP_FORESTS_RIVERS_OCEANS;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_137_WATER;ENV_SOLAR;TAX_FNCACT;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;	2#California, United States#US#USCA#36.17#-119.746#CA;3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322	andrew thompson;steve chien	artificial intelligence group;propulsion laboratory;professor at california institute of technology caltech	-1.33333333333333,1.86666666666667,3.2,5.06666666666667,25.6,1.33333333333333		webindia123.com	http://news.webindia123.com/news/Articles/Science/20161201/3003458.html
20161201	1		DRONES;NATURAL_DISASTER;NATURAL_DISASTER_ICY;UNGP_FORESTS_RIVERS_OCEANS;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_137_WATER;ENV_SOLAR;TAX_FNCACT;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;TAX_ETHNICITY;TAX_ETHNICITY_KANNADA;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KANNADA;	2#California, United States#US#USCA#36.17#-119.746#CA;3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322;3#Washington, Washington, United States#US#USDC#38.8951#-77.0364#531871	andrew thompson;steve chien	artificial intelligence group;propulsion laboratory;professor at california institute of technology caltech	-1.36612021857923,1.91256830601093,3.27868852459016,5.19125683060109,25.9562841530055,1.36612021857923		mangalorean.com	http://www.mangalorean.com/nasas-intelligent-underwater-drones-explore-europa/
20161201	1		SCIENCE;DRONES;NATURAL_DISASTER;NATURAL_DISASTER_ICY;UNGP_FORESTS_RIVERS_OCEANS;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_137_WATER;ENV_SOLAR;TAX_FNCACT;TAX_FNCACT_ASSISTANT;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;EPU_CATS_REGULATION;TAX_WORLDMAMMALS_SUNI;	2#California, United States#US#USCA#36.17#-119.746#CA;3#Monterey Bay, California, United States#US#USCA#36.8#-121.901#234322	steve chien;andrew thompson	artificial intelligence group;propulsion laboratory;professor at california institute of technology caltech;suni system p ltd	-1.20192307692308,1.44230769230769,2.64423076923077,4.08653846153846,23.0769230769231,1.44230769230769		netindia123.com	http://www.netindia123.com/netindia/showdetails.asp?id=3003458&n_date=20161201&cat=Science
